	GpB_1	GpB_2	GpA_1	GpA_2	GpA_3	GpA_4	GpA_5	GpA_6
FAM172A	76	70	71	56	57	55	109	56
FAM173A	67	69	59	103	60	99	136	146
FAM173B	22	35	21	27	26	28	22	25
FAM175A	75	58	45	45	103	61	46	24
FAM175B	270	177	216	162	248	153	142	153
FAM177A1	77	103	82	90	113	84	117	84
FAM178A	89	118	158	203	309	189	125	167
FAM179B	61	71	191	88	151	178	164	113
FAM188A	61	40	53	67	82	36	87	49
FAM189B	68	46	85	160	147	157	146	183
FAM192A	255	418	290	298	253	346	293	292
FAM193A	357	198	438	227	351	294	267	284
FAM193B	130	54	140	87	110	62	118	148
FAM195A	46	22	59	63	65	72	263	107
FAM195B	221	85	181	116	78	152	170	154
FAM199X	106	79	126	83	87	68	91	118
FAM204A	78	88	67	83	86	90	87	73
FAM207A	55	106	22	115	54	83	81	36
FAM208A	537	419	614	446	760	515	746	406
FAM208B	257	251	533	317	478	435	402	420
FAM20B	55	66	83	153	198	87	101	134
FAM210A	50	71	40	52	83	63	50	27
FAM213B	53	48	43	23	46	49	30	20
FAM214A	107	80	168	127	155	73	133	254
FAM214B	55	22	51	90	122	63	81	36
FAM216A	73	104	55	43	61	56	38	49
FAM219B	55	23	69	42	34	27	63	65
FAM21A	276	508	315	314	252	289	349	115
FAM21C	285	495	359	224	275	325	373	157
FAM222B	114	55	118	144	105	106	147	182
FAM32A	106	139	108	80	65	87	84	88
FAM3A	55	49	69	86	58	126	146	84
FAM46C	214	205	348	103	271	87	181	158
FAM49A	272	420	105	249	734	137	115	35
FAM49B	146	341	260	250	508	312	156	184
FAM50A	611	395	417	304	356	395	421	273
FAM53B	157	81	204	155	159	82	182	312
FAM53C	146	70	125	115	151	95	70	139
FAM58A	45	41	80	75	80	129	139	111
FAM60A	881	1131	583	342	299	506	488	259
FAM65A	1258	472	1721	617	768	982	977	1141
FAM65B	854	407	1512	690	1285	864	1088	776
FAM69A	114	101	134	123	60	63	101	311
FAM73A	43	48	56	42	88	39	65	41
FAM73B	53	46	64	50	41	59	56	50
FAM76A	51	58	36	61	68	38	42	42
FAM76B	73	75	76	71	92	57	57	66
FAM78A	91	41	84	87	76	45	55	130
FAM83G	83	68	76	81	100	56	63	86
FAM89B	66	51	84	122	102	111	111	177
FAM91A1	102	148	102	173	167	141	239	106
FAM96A	265	191	147	262	235	249	401	177
FAM96B	513	269	491	286	333	487	560	327
FAM98A	421	275	294	311	244	326	293	306
FAM98B	268	279	244	179	200	248	214	137
FAM98C	61	20	55	49	51	56	75	51
FAN1	122	62	152	79	79	121	88	128
FANCA	212	459	252	419	192	457	191	760
FANCC	51	56	40	50	30	50	33	47
FANCD2	289	552	376	314	213	471	334	442
FANCE	58	48	53	89	58	106	45	89
FANCF	160	107	204	91	120	151	157	141
FANCG	120	147	154	185	157	270	194	205
FANCI	193	827	224	597	380	738	297	489
FANCL	73	92	79	81	88	148	54	74
FANCM	23	69	75	53	65	66	59	95
FAR1	131	257	145	242	293	162	166	142
FARP2	425	250	582	281	456	339	458	346
FARS2	173	125	131	108	152	148	168	76
FARSA	894	487	584	691	530	658	671	738
FARSB	491	440	319	350	378	546	425	248
FAS	566	672	292	482	250	480	696	369
FASN	2335	3661	850	1509	876	1088	1156	1014
FASTK	99	52	109	154	153	140	145	152
FASTKD1	111	153	124	70	129	127	119	61
FASTKD2	168	272	150	163	234	185	163	126
FASTKD3	128	68	93	52	62	73	93	46
FASTKD5	193	155	172	123	136	148	139	124
FAU	2384	2368	1844	1348	1780	2217	2776	1244
FBL	2214	953	1234	1561	1114	1975	2429	1499
FBN1	26	199	57	121	100	93	121	109
FBRS	862	394	1031	580	508	711	999	1039
FBRSL1	296	284	407	235	253	176	135	470
FBXL12	135	66	133	83	78	106	89	102
FBXL14	111	63	119	148	100	94	133	176
FBXL15	109	49	80	91	91	106	107	72
FBXL17	222	116	281	162	195	186	184	187
FBXL18	136	98	135	126	161	109	121	106
FBXL19	111	40	82	55	61	60	44	48
FBXL20	83	92	125	94	100	102	107	93
FBXL3	372	261	369	172	310	188	179	152
FBXL4	54	75	56	39	60	49	49	46
FBXL5	135	251	149	225	278	155	261	160
FBXL6	52	41	41	61	62	48	34	70
FBXO10	107	90	169	78	380	56	65	62
FBXO11	216	213	246	237	255	229	259	184
FBXO18	388	197	558	383	443	395	530	583
FBXO21	245	177	163	151	172	122	180	173
FBXO22	103	102	111	74	98	163	147	81
FBXO25	59	69	62	52	53	47	88	54
FBXO28	182	119	187	166	206	118	155	150
FBXO3	224	114	206	156	151	137	138	163
FBXO30	52	130	72	77	116	75	85	62
FBXO31	72	45	117	92	132	61	113	114
FBXO33	246	115	149	137	161	115	160	90
FBXO34	78	64	79	64	73	58	69	67
FBXO38	435	311	437	296	411	311	372	252
FBXO4	60	99	78	58	60	81	40	80
FBXO41	54	38	26	38	27	27	21	35
FBXO42	206	118	219	138	196	108	174	173
FBXO44	155	56	125	45	31	66	118	81
FBXO45	36	27	30	48	25	45	69	44
FBXO46	104	73	127	87	74	110	88	136
FBXO6	126	127	205	112	69	122	156	269
FBXO7	1163	544	857	621	685	659	1091	581
FBXO8	134	76	130	80	104	70	95	72
FBXO9	62	56	85	68	80	79	132	102
FBXW11	260	220	247	333	305	240	264	230
FBXW2	113	77	175	228	252	232	336	189
FBXW4	358	103	445	161	122	340	352	340
FBXW5	198	160	308	267	388	335	341	322
FBXW7	78	36	195	131	292	255	447	151
FBXW8	141	133	94	132	82	99	127	152
FCER2	17321	6045	3309	4053	259	7258	6196	5596
FCF1	93	176	92	138	138	109	80	120
FCGRT	107	67	118	83	57	139	191	224
FCHO1	549	117	471	235	229	211	336	304
FCHSD1	126	49	147	78	89	106	135	104
FCHSD2	901	421	1103	665	631	642	1601	935
FCMR	345	52	405	156	527	61	60	290
FCRL2	126	35	483	102	116	184	114	280
FCRL3	1347	1098	2887	984	878	1259	2154	2681
FCRL5	355	105	594	292	760	448	434	186
FCRLA	238	28	760	61	472	218	53	135
FDFT1	1455	2711	1197	1544	1975	953	916	1460
FDPS	1022	2988	736	974	1333	898	756	545
FDX1	92	87	55	86	68	58	111	74
FDX1L	35	20	27	33	30	51	82	30
FDXACB1	58	67	38	50	34	48	57	56
FDXR	80	36	60	59	24	94	48	114
FECH	64	77	57	87	133	67	46	57
FEM1A	119	102	101	205	116	149	170	220
FEM1B	144	153	179	201	213	173	284	181
FEM1C	91	123	139	171	230	157	184	102
FEN1	279	462	214	428	195	378	205	441
FER	85	61	49	75	67	90	95	30
FERMT3	2114	1222	2017	1099	1623	1572	1341	1069
FGD2	409	193	564	417	396	322	462	465
FGD3	233	150	345	178	218	135	150	303
FGFR1OP	40	57	31	80	88	86	65	44
FGFR1OP2	165	216	171	143	172	160	166	87
FGR	213	106	289	200	744	204	353	106
FH	692	762	497	628	569	726	505	437
FHL3	47	48	37	43	20	30	39	55
FHOD1	781	293	616	459	636	606	677	373
FIBP	420	282	375	413	359	422	546	491
FICD	41	43	62	64	97	36	35	80
FIG4	308	251	215	144	253	214	167	98
FIGNL1	77	185	129	176	153	258	78	164
FIP1L1	653	510	489	491	567	501	338	395
FIS1	131	173	121	106	109	140	184	164
FKBP11	284	202	154	166	110	232	338	200
FKBP15	232	137	312	178	222	250	233	205
FKBP1A	901	913	722	295	156	503	445	372
FKBP2	304	152	128	137	129	137	192	128
FKBP3	341	332	227	344	260	254	142	236
FKBP4	621	614	321	645	528	401	503	507
FKBP5	415	723	315	430	205	267	301	634
FKBP8	744	528	676	697	530	779	780	733
FKRP	43	20	32	50	30	44	36	39
FLAD1	304	177	311	260	286	353	505	303
FLCN	150	80	165	127	164	71	82	144
FLI1	397	202	503	220	377	296	361	302
FLII	1169	812	1233	1234	1594	1031	880	1283
FLNA	3330	3325	2919	2624	2655	3147	2427	1597
FLNB	234	623	271	299	109	197	286	683
FLOT1	781	667	564	471	369	845	961	356
FLOT2	1914	875	1987	892	685	1551	1288	1088
FLVCR1	47	57	71	64	101	62	78	50
FLYWCH1	109	62	91	60	59	57	53	77
FLYWCH2	68	31	55	78	68	57	83	72
FMNL1	2417	1297	2281	1272	2670	1810	2704	876
FMNL3	1023	628	1169	874	710	1119	982	917
FMR1	151	165	176	155	217	103	195	122
FN1	321	150	95	311	71	257	302	110
FN3KRP	103	93	116	72	56	91	89	116
FNBP1	9690	5664	8021	4139	3826	5567	5035	4600
FNBP4	443	271	691	383	587	413	501	557
FNDC3A	241	239	429	190	370	264	332	153
FNDC3B	98	587	97	195	188	110	163	113
FNIP1	311	245	354	256	349	186	286	212
FNTA	321	272	298	216	223	212	281	241
FOCAD	156	217	237	187	200	300	235	219
FOPNL	106	123	92	88	89	108	51	126
FOSL2	62	418	43	79	128	48	22	34
FOXJ2	132	82	161	108	121	110	111	144
FOXJ3	495	284	588	291	414	285	288	347
FOXK1	648	233	289	268	204	244	262	227
FOXK2	121	96	156	180	213	159	187	214
FOXN2	217	144	147	124	170	112	114	84
FOXN3	313	182	466	364	303	328	350	789
FOXO1	567	288	525	244	347	277	356	226
FOXO3	74	169	62	100	42	84	93	86
FOXO4	64	26	72	50	42	55	55	57
FOXP1	1754	738	2690	989	2031	1406	1252	1193
FOXP4	674	198	596	348	850	427	437	179
FOXRED1	180	180	125	161	103	163	143	145
FOXRED2	47	72	50	88	51	49	36	154
FPGS	414	192	316	387	244	387	367	543
FRA10AC1	44	60	38	43	50	34	59	33
FRG1	163	207	148	223	246	210	123	154
FRMD8	191	159	161	142	104	97	101	165
FRY	330	332	702	187	20	381	935	2048
FRYL	346	496	844	440	793	526	508	553
FSCN1	1674	6160	541	1513	1408	1038	1074	512
FTH1	283	5898	257	1667	1534	1289	1676	453
FTL	340	742	338	1101	1415	988	1853	742
FTO	386	258	389	231	284	262	153	221
FTSJ1	250	177	207	196	210	269	478	175
FTSJ2	167	173	159	170	183	202	183	165
FTSJ3	619	525	494	461	342	694	626	438
FUBP1	1048	891	1109	671	832	833	778	677
FUBP3	315	256	233	279	281	219	286	224
FUCA1	109	61	70	87	81	67	78	78
FUCA2	56	88	70	89	105	76	72	78
FUK	182	74	131	99	62	103	103	156
FUNDC1	21	48	35	29	37	39	24	68
FUNDC2	103	145	123	99	65	84	113	109
FURIN	270	291	258	476	326	286	255	391
FUS	2719	3734	1520	1668	1295	1525	1269	1128
FUT10	21	22	62	34	41	69	40	70
FUT11	216	115	191	123	125	95	112	160
FUT4	53	42	100	47	28	104	102	102
FUT8	227	139	198	91	120	168	391	82
FUZ	39	35	32	75	30	64	70	89
FXN	45	100	51	49	61	37	56	63
FXR1	667	662	618	597	734	602	1022	546
FXR2	400	234	346	355	358	325	326	329
FXYD5	853	399	688	330	576	530	331	466
FYCO1	49	59	50	58	47	53	40	83
FYN	45	102	48	207	227	144	118	132
FYTTD1	487	488	266	302	450	286	260	159
FZD3	49	24	63	33	28	40	58	41
FZR1	420	247	326	303	184	229	223	343
G2E3	42	85	52	47	71	36	87	49
G3BP1	1898	2137	1456	1526	1376	1211	1102	1379
G3BP2	957	884	638	526	594	492	429	406
G6PC3	167	175	158	144	132	137	220	171
G6PD	1293	961	738	809	503	721	600	843
GAA	127	168	80	144	69	96	68	179
GAB1	150	31	253	80	76	146	179	202
GAB2	787	220	897	264	224	525	523	371
GABARAP	1729	1106	1316	1118	907	811	547	896
GABARAPL2	567	549	391	363	614	413	289	198
GABBR1	78	40	97	59	77	60	55	84
GABPA	201	414	166	201	164	249	152	98
GABPB1	179	235	217	160	158	125	126	247
GABPB2	50	35	63	41	70	55	45	43
GADD45A	67	397	33	98	49	26	25	64
GADD45B	514	243	551	249	635	237	345	211
GADD45GIP1	484	199	182	284	184	258	321	292
GAK	640	607	774	557	705	560	605	596
GALC	97	104	61	49	89	59	78	32
GALE	57	102	60	78	77	80	69	70
GALK1	92	91	58	132	95	110	100	128
GALK2	137	129	182	103	155	102	137	110
GALNS	58	49	53	59	61	42	78	74
GALNT1	174	184	176	166	324	175	238	121
GALNT10	50	61	51	81	56	53	55	98
GALNT2	276	315	197	243	137	141	253	353
GALNT6	316	24	172	41	42	76	136	39
GALNT7	212	280	204	163	160	96	146	267
GALT	54	58	100	79	85	91	92	169
GAN	46	46	45	41	69	34	61	34
GANAB	1911	2436	1480	1429	1320	1236	1248	1474
GANC	106	122	161	127	161	160	145	168
GAPDH	4507	8574	3937	7980	5737	8244	8611	4477
GAPVD1	503	409	488	486	630	446	507	375
GAR1	74	70	23	43	27	37	40	20
GARS	2969	4514	2966	1882	3555	3601	2925	889
GART	1419	1346	1048	912	983	1360	1100	741
GATAD1	58	58	104	54	70	70	81	69
GATAD2A	377	320	407	476	455	429	438	421
GATAD2B	607	470	890	581	1085	465	475	572
GATB	123	174	93	91	90	124	109	89
GATC	144	92	59	69	44	64	94	60
GATSL3	173	44	196	69	76	60	67	144
GBA	261	344	187	254	291	166	124	169
GBA2	85	72	215	135	178	166	201	218
GBAS	274	207	213	166	138	183	248	209
GBE1	353	276	237	239	233	234	176	160
GBF1	1689	868	2153	1170	991	1684	1151	1578
GBGT1	152	80	86	77	106	77	183	81
GBP1	28	202	108	529	146	408	1650	705
GBP2	186	346	256	669	185	437	1257	1273
GBP4	68	485	287	1323	469	671	2262	1976
GBP5	58	165	222	396	227	202	806	723
GCA	199	346	176	134	173	130	56	155
GCC1	105	119	127	129	123	94	144	143
GCC2	260	206	481	182	521	300	317	324
GCDH	421	291	222	250	189	404	141	260
GCFC2	66	46	46	75	44	48	91	67
GCH1	161	106	81	130	92	81	125	72
GCHFR	87	67	57	67	27	67	72	123
GCLC	160	157	265	102	61	175	246	298
GCLM	39	77	43	65	55	39	43	65
GCN1	2627	2522	2164	2062	1398	2134	2449	2310
GCNT2	82	26	120	60	59	50	108	108
GDAP2	96	82	94	59	104	84	97	50
GDE1	36	49	47	39	54	46	84	55
GDI1	1025	751	1048	972	838	982	940	1049
GDI2	3970	3690	3005	2922	3534	2976	3142	1905
GDPGP1	25	22	45	29	35	32	34	40
GEMIN2	45	80	36	49	24	46	37	73
GEMIN4	646	506	332	474	308	456	428	450
GEMIN5	592	499	474	371	366	478	651	366
GEMIN6	40	83	70	51	70	108	71	86
GEMIN7	95	69	69	63	64	63	111	51
GEMIN8	99	83	143	100	90	173	107	124
GEN1	71	93	150	98	471	137	93	41
GET4	160	82	145	166	172	169	161	164
GFER	72	53	58	56	53	71	115	67
GFI1	192	226	172	158	82	37	133	159
GFM1	315	478	255	318	390	411	342	208
GFM2	98	164	115	100	165	134	160	84
GFOD2	77	27	55	42	24	52	50	65
GFPT1	571	752	629	620	1260	465	362	427
GGA1	562	322	541	408	468	381	425	432
GGA2	2529	791	3021	1085	1349	939	1753	2120
GGA3	450	227	559	299	432	329	433	485
GGCT	81	120	40	73	40	81	39	98
GGCX	102	81	93	97	71	92	79	122
GGNBP2	466	445	478	430	552	429	412	350
GGPS1	63	84	72	46	67	55	104	48
GGT7	103	54	99	85	84	103	41	107
GHDC	53	50	95	54	70	44	74	117
GHITM	1341	1401	1086	829	1268	983	998	667
GID4	34	32	25	35	32	35	62	23
GID8	411	243	305	348	383	259	183	287
GIGYF1	264	158	373	135	97	182	173	221
GIGYF2	361	388	484	357	449	318	357	450
GIMAP2	22	29	40	44	63	38	62	64
GINM1	184	213	228	148	116	152	244	265
GINS2	42	194	28	180	100	114	29	135
GINS3	22	67	37	81	42	60	33	96
GINS4	54	106	42	71	37	96	24	61
GIPC1	122	59	72	66	70	70	160	42
GIT1	206	130	214	311	239	255	202	285
GIT2	463	563	677	445	505	373	353	539
GLA	186	201	171	262	563	144	121	139
GLB1	985	880	896	374	489	489	521	436
GLE1	434	388	552	283	340	292	263	477
GLG1	1139	1205	1070	1097	841	657	736	1435
GLIPR2	172	241	141	90	83	121	120	91
GLMN	82	120	75	64	51	67	41	65
GLMP	119	78	181	122	213	145	143	183
GLO1	629	419	547	304	328	389	226	379
GLOD4	540	393	381	296	279	342	298	216
GLRX2	53	56	55	60	113	68	70	30
GLRX3	348	372	388	345	404	378	250	306
GLRX5	64	74	53	173	90	121	223	124
GLS	1816	1105	1869	1134	1593	1444	1729	929
GLT8D1	108	94	141	77	104	111	126	103
GLTP	127	185	96	192	130	113	119	175
GLTSCR1	194	50	165	123	137	88	116	159
GLTSCR1L	115	75	245	131	213	195	169	219
GLTSCR2	1195	592	1972	2060	2174	2452	4688	3753
GLUD1	782	711	605	553	554	714	620	345
GLUD2	255	196	171	244	152	239	227	154
GLUL	343	1352	442	304	431	51	67	712
GLYR1	1007	618	690	649	566	517	541	607
GM2A	637	428	716	342	635	217	219	551
GMCL1	33	26	24	36	27	43	59	24
GMDS	190	116	152	163	118	226	275	156
GMEB1	142	114	119	122	123	88	125	135
GMEB2	160	99	129	96	93	79	107	97
GMFB	132	167	70	139	129	116	94	49
GMFG	418	262	199	457	342	330	180	336
GMIP	994	560	904	1103	845	922	1310	1052
GMPPA	289	155	257	233	259	209	183	251
GMPPB	247	163	202	174	158	149	167	205
GMPR2	204	111	167	158	148	151	215	148
GMPS	547	746	402	643	579	633	449	438
GNA11	54	32	35	41	29	38	35	32
GNA12	263	150	209	197	116	187	201	329
GNA13	263	209	424	309	533	255	402	389
GNAI2	2250	1448	2827	2185	2370	2241	2250	2217
GNAI3	617	566	464	520	483	444	282	320
GNAS	7590	6269	4499	6418	5295	6329	8121	4831
GNB1	2088	1705	1890	1704	1554	1523	2075	1624
GNB1L	69	40	55	39	37	46	48	58
GNB2	1402	764	1012	1018	940	1076	1241	872
GNB2L1	9501	5042	9612	7305	9353	12054	24450	7702
GNB5	227	161	190	164	113	171	184	203
GNE	155	226	157	141	225	155	154	114
GNG2	1431	509	1362	305	132	978	534	801
GNG5	650	518	396	236	207	226	128	129
GNG8	2362	392	592	224	127	630	728	191
GNL1	373	178	272	305	419	452	340	192
GNL2	453	420	328	352	394	387	362	270
GNL3	700	746	642	575	581	709	864	707
GNL3L	466	457	390	357	336	381	504	329
GNPAT	220	147	249	168	160	239	434	237
GNPDA1	191	96	193	115	90	111	120	183
GNPDA2	104	86	99	55	99	62	56	50
GNPNAT1	59	203	29	62	23	68	105	36
GNPTAB	190	271	425	337	337	192	369	737
GNPTG	56	92	118	67	96	46	125	127
GNS	426	1258	456	369	396	215	260	399
GOLGA1	44	57	59	59	58	63	56	68
GOLGA2	248	215	261	188	261	178	234	210
GOLGA3	357	364	473	404	533	286	452	438
GOLGA4	227	258	425	289	466	327	588	336
GOLGA5	177	174	211	150	221	145	220	164
GOLGA7	87	126	77	87	93	76	82	77
GOLGB1	585	680	900	568	1180	645	727	569
GOLPH3	264	270	323	300	323	200	277	286
GOLPH3L	234	148	268	216	316	218	109	154
GOLT1B	28	85	46	63	69	42	46	67
GON4L	441	380	751	431	598	550	568	574
GOPC	300	213	226	201	180	297	182	168
GORAB	24	57	72	51	132	52	72	62
GORASP1	202	91	144	77	73	95	99	98
GORASP2	1122	544	1089	667	851	714	959	852
GOSR1	207	208	182	154	188	160	132	110
GOSR2	230	209	241	242	148	187	214	304
GOT1	381	364	368	183	481	250	228	109
GOT2	880	650	600	479	362	553	572	463
GPAA1	243	246	231	314	163	305	301	416
GPALPP1	298	202	125	159	141	161	104	91
GPAM	31	67	46	61	137	45	35	43
GPANK1	115	80	101	97	108	113	84	129
GPATCH1	136	61	93	102	107	106	94	78
GPATCH11	73	76	105	82	104	85	59	91
GPATCH2	34	34	60	63	98	53	51	61
GPATCH2L	185	179	209	153	207	152	178	144
GPATCH3	76	80	101	83	83	70	122	110
GPATCH4	191	178	98	176	145	143	218	148
GPATCH8	526	365	671	512	532	555	503	587
GPBP1	367	390	403	328	429	383	521	352
GPBP1L1	169	65	284	203	277	264	464	332
GPCPD1	63	190	103	190	173	131	161	189
GPD1L	93	66	42	42	25	37	55	39
GPD2	233	339	236	282	251	304	291	209
GPI	1855	1579	1433	1699	1508	1578	1797	1778
GPKOW	165	165	161	115	128	132	133	137
GPN1	491	500	353	398	394	524	580	317
GPN2	188	148	233	145	179	144	165	166
GPN3	263	252	138	151	110	160	136	115
GPR107	134	225	173	116	163	110	80	153
GPR108	205	109	193	161	214	155	196	160
GPR132	418	278	326	301	281	318	242	342
GPR137	73	41	132	104	113	169	208	182
GPR137B	172	195	163	136	525	166	225	40
GPR174	105	66	110	37	34	202	234	42
GPR183	1118	1647	2028	677	901	1326	442	486
GPS1	748	494	582	491	376	500	499	617
GPS2	300	154	373	177	222	173	186	256
GPSM3	711	114	839	314	382	449	688	474
GPT2	95	239	154	135	127	168	147	120
GPX1	442	635	408	393	349	485	1085	374
GPX4	1140	644	1087	511	748	643	1165	716
GRAMD1A	1070	1863	1485	1124	2492	1799	1296	799
GRAMD1B	344	217	245	211	231	474	236	151
GRAMD4	45	50	62	65	84	86	30	63
GRB2	1076	1148	1305	617	1109	801	691	679
GRHPR	2154	1315	2926	1094	1714	1067	2465	1838
GRINA	2909	1998	1999	1161	1435	1270	2802	967
GRIPAP1	445	320	334	360	406	378	539	306
GRK6	202	178	177	313	141	407	257	410
GRN	4949	2475	4630	2056	3395	1804	2652	2275
GRPEL1	185	232	103	122	125	169	124	108
GRPEL2	72	59	37	60	34	56	80	39
GRSF1	984	988	870	852	969	633	1352	666
GRWD1	461	250	195	324	143	240	279	307
GSAP	203	198	326	140	221	209	546	149
GSDMD	267	237	355	200	179	322	297	432
GSE1	299	159	177	248	221	185	154	295
GSK3A	259	174	293	284	277	272	372	290
GSK3B	291	255	263	306	355	231	306	181
GSKIP	209	134	140	99	89	100	75	78
GSN	446	2079	325	763	391	273	429	473
GSPT1	1693	1058	853	940	937	1004	892	471
GSPT2	133	66	73	59	82	80	48	29
GSR	314	297	282	306	358	313	365	298
GSS	185	187	201	138	124	167	185	208
GSTCD	49	63	75	57	73	63	98	60
GSTK1	283	292	457	263	203	339	536	645
GSTO1	101	443	110	310	217	218	165	342
GSTP1	5040	4321	5248	1732	401	2356	3021	11954
GSTZ1	98	92	58	46	49	80	74	47
GTF2A1	383	294	540	298	450	386	293	313
GTF2A2	152	150	120	106	108	140	189	115
GTF2B	296	220	299	202	287	218	224	194
GTF2E1	138	124	123	119	108	117	97	122
GTF2E2	184	212	137	139	181	132	167	103
GTF2F1	433	284	307	330	311	333	368	341
GTF2F2	208	164	111	104	169	193	111	37
GTF2H1	112	96	134	122	163	151	163	120
GTF2H3	140	302	137	154	138	146	123	140
GTF2H4	152	139	149	124	141	179	194	90
GTF2I	650	670	550	443	534	428	498	408
GTF3A	406	257	325	313	263	295	686	505
GTF3C1	545	471	567	472	510	524	592	544
GTF3C2	666	400	563	542	504	561	632	562
GTF3C3	416	383	284	283	353	300	239	165
GTF3C4	292	234	240	242	260	243	263	208
GTF3C5	181	167	237	191	179	216	209	281
GTF3C6	54	71	44	79	81	68	74	54
GTPBP1	702	437	766	556	498	530	810	654
GTPBP10	118	137	123	77	115	102	96	63
GTPBP2	87	124	158	148	197	130	107	164
GTPBP3	63	59	44	62	34	81	51	73
GTPBP4	738	699	566	454	529	775	577	433
GUCD1	149	146	167	218	184	162	194	225
GUF1	65	102	67	101	96	88	114	100
GUK1	91	64	93	151	127	217	417	232
GUSB	214	234	200	206	210	168	181	243
GYG1	43	64	74	59	87	32	49	74
GYLTL1B	155	67	184	86	120	410	306	133
GYPC	255	174	313	153	264	78	610	232
GYS1	667	296	526	423	353	516	584	467
H1FX	366	416	450	275	361	424	259	366
H2AFJ	108	62	74	140	67	129	174	93
H2AFV	163	349	177	207	162	164	162	195
H2AFX	178	556	93	612	161	260	141	549
H2AFY	393	586	321	402	280	328	317	445
H2AFZ	763	2891	924	1278	887	1105	462	832
H3F3B	1319	1571	1008	718	593	614	495	754
H3F3C	412	500	316	319	160	247	245	132
H6PD	114	637	96	244	100	130	151	228
HAAO	126	128	231	84	41	136	73	111
HABP4	44	46	47	51	48	59	49	49
HACD2	144	121	155	90	201	94	84	78
HACD3	111	153	80	98	89	87	68	80
HACE1	44	38	47	37	59	25	46	29
HACL1	204	242	159	102	160	207	178	59
HADH	296	406	228	243	158	347	173	310
HADHA	1073	1623	1279	795	1396	1200	1427	892
HADHB	809	954	1295	417	699	574	532	605
HAGH	171	131	151	245	157	240	325	190
HAPLN3	62	145	131	151	21	155	326	653
HARS	646	445	484	407	427	510	469	395
HARS2	232	133	198	134	146	124	125	176
HAT1	310	567	407	466	476	629	232	329
HAUS1	155	192	143	153	158	216	90	146
HAUS2	64	68	112	58	78	108	54	63
HAUS3	40	39	40	51	65	55	64	34
HAUS4	68	135	63	149	176	194	179	125
HAUS5	160	173	208	171	107	238	161	273
HAUS6	109	215	119	108	109	145	174	72
HAUS7	87	82	56	73	39	91	107	81
HAUS8	50	96	50	101	84	84	59	106
HAX1	445	344	294	254	407	327	461	230
HBP1	362	251	322	328	315	208	314	252
HBS1L	268	405	407	292	509	398	498	254
HCCS	175	128	165	103	131	149	100	126
HCFC1	1239	755	1054	1322	976	1142	1012	1529
HCFC1R1	96	47	104	50	97	70	80	65
HCFC2	77	32	69	52	62	55	67	41
HCLS1	4656	2233	3378	2070	1780	2148	2855	2139
HCST	283	68	357	70	126	92	88	140
HDAC1	2466	1712	1880	1248	809	1512	1353	1436
HDAC10	126	66	133	89	79	87	75	128
HDAC2	523	648	414	468	663	577	187	334
HDAC3	533	255	409	393	381	354	383	375
HDAC4	22	65	38	39	26	36	46	70
HDAC5	172	71	161	187	251	144	105	139
HDAC6	436	340	523	398	368	422	418	622
HDAC7	720	307	518	579	369	429	513	641
HDAC8	67	42	57	46	51	51	42	42
HDAC9	258	26	570	290	221	493	337	800
HDDC2	114	105	68	63	72	98	138	50
HDDC3	92	68	49	84	58	75	84	59
HDGF	569	500	396	957	838	592	572	548
HDGFRP2	440	232	249	334	206	231	257	328
HDHD2	74	71	139	68	107	67	112	121
HDHD3	68	45	68	52	50	50	92	66
HDLBP	1458	1284	1582	2413	2469	1933	2495	2178
HEATR1	789	705	733	528	812	880	856	378
HEATR3	102	94	82	94	79	93	112	87
HEATR5A	75	118	114	129	113	80	172	157
HEATR5B	367	260	702	359	681	446	583	447
HEATR6	408	226	461	264	407	359	314	245
HEBP2	186	148	179	163	147	202	448	132
HECA	168	111	265	226	262	183	208	246
HECTD1	1075	857	1133	1238	1152	1217	1358	1089
HECTD3	283	190	249	267	243	212	215	242
HECTD4	748	478	715	462	527	477	430	425
HELB	52	126	96	94	51	82	148	126
HELLS	1086	1650	926	1192	550	1619	712	977
HELQ	66	45	84	52	75	91	120	48
HELZ	419	273	736	424	529	479	521	544
HELZ2	209	121	142	146	100	152	141	151
HEMK1	97	102	113	72	58	121	89	112
HENMT1	29	125	36	26	53	29	37	27
HERC1	2382	964	3618	1042	1731	1745	1426	1638
HERC2	305	353	436	310	309	374	353	354
HERC3	640	218	495	295	131	518	524	381
HERC4	368	251	333	223	312	277	402	361
HERPUD1	10588	1787	7825	1497	2978	2345	3521	1750
HERPUD2	219	141	365	167	251	134	254	269
HEXA	440	338	293	197	245	226	371	199
HEXB	168	238	200	180	300	199	309	166
HEXDC	32	23	50	28	25	49	56	55
HEXIM1	330	159	269	199	182	202	213	213
HGS	651	385	558	380	358	392	468	496
HGSNAT	143	107	304	62	160	90	109	86
HHEX	162	72	79	86	111	93	91	66
HIAT1	171	236	195	237	269	229	481	201
HIATL1	167	332	254	239	254	201	292	276
HIBADH	100	122	86	178	168	123	141	130
HIBCH	157	215	166	146	160	138	112	94
HID1	57	31	42	60	40	28	64	84
HIF1A	988	2403	609	856	1956	421	531	397
HIF1AN	220	148	203	170	176	148	149	163
HIGD1A	178	168	91	82	94	105	51	40
HIGD2A	513	280	376	230	213	276	627	328
HINFP	101	73	159	76	96	98	206	111
HINT1	856	590	708	772	570	751	1126	948
HINT2	142	155	157	121	155	185	118	174
