ID	MRNA_A	MRNA_B	MRNA_C	MRNA_D	A	B	C	D
ERVV-2	0	0	0	0	0	0	0	0
ESAM	2	3	3	5	2	62	3	84
ESCO1	0	2	0	0	101	95	110	156
ESCO2	0	2	0	1	519	620	1019	1492
ESD	6	8	2	4	1707	1950	2795	3583
ESF1	9	14	1	8	607	614	838	893
ESM1	1	0	0	0	17	7	10	0
ESPL1	2	8	5	0	468	637	853	1249
ESPN	3	3	4	1	3	3	1	3
ESPNL	0	0	0	0	0	0	0	1
ESPNP	0	0	0	0	0	0	0	0
ESR1	0	1	0	0	1	0	0	0
ESR2	3	8	2	3	0	0	0	0
ESRG	97	120	84	88	0	0	0	0
ESRP1	0	0	0	0	0	4	0	0
ESRP2	434	434	416	484	2	3	1	0
ESRRA	1747	1796	2089	1859	280	229	345	347
ESRRB	0	0	0	0	5	4	2	1
ESRRG	0	0	0	0	2	0	3	5
ESX1	0	0	0	0	0	0	0	0
ESYT1	54	70	38	35	4964	3531	6889	6869
ESYT2	19	38	15	12	891	923	1204	1323
ESYT3	3	6	3	2	0	0	1	0
ETAA1	1	2	1	3	104	80	165	279
ETF1	15	37	19	30	2443	2021	3857	4106
ETFA	13	17	13	10	1897	2298	2708	3949
ETFB	3	6	4	4	774	438	1046	680
ETFDH	6	6	2	8	57	58	113	131
ETHE1	0	0	0	0	492	411	596	542
ETNK1	2	4	2	4	1028	929	1293	1711
ETNK2	4	8	2	8	24	18	26	41
ETNPPL	0	0	0	0	0	0	4	10
ETS1	37	71	23	37	1591	1363	2643	2845
ETS2	6	4	5	2	427	554	592	886
ETV1	4	3	1	5	316	244	331	289
ETV2	0	0	0	0	29	9	38	29
ETV3	8	12	7	7	442	406	567	470
ETV3L	0	0	0	0	36	11	35	28
ETV4	31	21	19	20	264	224	366	335
ETV5	2	9	4	4	978	872	1344	1165
ETV6	4	3	5	2	241	149	305	244
ETV7	1	0	0	0	0	0	0	0
EVA1A	0	1	0	0	12	19	43	35
EVA1B	31	49	14	27	89	48	106	123
EVA1C	2	0	0	0	39	54	73	62
EVADR	0	0	0	0	0	0	0	0
EVC	4	3	0	3	94	122	175	241
EVC2	0	0	2	3	1	0	5	0
EVI2A	13	4	3	4	107	135	173	212
EVI2B	6	4	0	3	18	30	15	28
EVI5	36	30	15	26	130	141	216	291
EVI5L	0	0	1	1	41	31	62	22
EVL	3	2	2	3	38	15	52	61
EVPL	0	0	0	0	1	0	0	0
EVPLL	0	0	0	0	0	0	0	0
EVX1	0	0	0	0	0	0	0	0
EVX1-AS	0	0	0	0	0	0	0	0
EVX2	0	0	0	0	71	8	54	13
EWSAT1	0	0	0	0	0	0	0	0
EWSR1	87	176	96	91	4730	5290	6642	9166
EXD1	20	9	9	15	0	0	0	0
EXD2	9	14	10	7	387	326	512	402
EXD3	0	4	0	0	32	12	30	3
EXO1	6	4	5	4	392	454	669	649
EXO5	6	6	2	4	50	27	81	40
EXOC1	6	8	7	6	758	823	1198	1467
EXOC2	1	9	2	2	618	733	897	1322
EXOC3	7	8	5	2	1669	1415	2301	2221
EXOC3-AS1	3	4	6	3	0	0	0	0
EXOC3L1	12	24	12	10	4	7	4	3
EXOC3L2	13	14	9	9	0	0	0	0
EXOC3L4	0	0	0	0	2	0	1	10
EXOC4	13	13	8	8	1107	934	1474	1507
EXOC5	11	17	4	14	755	730	1218	1422
EXOC6	2	3	0	1	504	432	787	946
EXOC6B	3	2	1	3	448	408	649	866
EXOC7	14	15	11	14	1457	949	1820	1924
EXOC8	7	7	4	11	269	318	382	506
EXOG	2	7	4	8	225	165	321	322
EXOSC1	1	0	0	1	420	381	660	637
EXOSC10	6	13	8	13	1073	1069	1494	1989
EXOSC2	53	75	39	54	932	888	1363	1563
EXOSC3	26	25	8	13	745	681	1108	1177
EXOSC4	12	14	8	8	1010	973	1459	1714
EXOSC5	3	2	1	1	1183	1103	1350	1627
EXOSC6	11	12	19	25	970	1465	1188	1987
EXOSC7	7	20	10	10	598	353	850	747
EXOSC8	116	58	56	51	804	958	1277	1768
EXOSC9	450	234	238	264	590	586	1060	1018
EXPH5	45	40	31	34	16	12	13	38
EXT1	20	29	21	30	463	474	556	763
EXT2	11	27	8	15	1595	1195	2414	2691
EXTL1	3	2	0	5	0	0	2	11
EXTL2	17	18	15	20	331	296	505	595
EXTL3	15	18	6	10	321	241	555	636
EXTL3-AS1	3	1	1	0	0	0	0	0
EYA1	0	0	0	0	82	40	130	127
EYA2	0	0	0	0	0	0	0	0
EYA3	40	45	31	37	433	541	676	1021
EYA4	6	5	8	13	122	136	136	168
EYS	23	16	14	16	0	0	0	6
EZH1	3	7	6	7	115	104	154	263
EZH2	26	52	33	54	348	435	513	594
EZR	44	56	22	42	3300	2424	4907	4256
EZR-AS1	257	312	184	273	0	0	0	0
F10	2	5	1	2	0	0	0	0
F10-AS1	0	0	0	0	0	0	0	0
F11	0	0	0	0	0	0	0	0
F11-AS1	0	0	0	0	0	0	0	0
F11R	14	14	6	10	64	66	112	139
F12	1	0	0	1	36	20	49	51
F13A1	0	0	0	0	1	0	1	0
F13B	0	0	0	0	0	0	0	0
F2	1	0	0	0	0	0	0	0
F2R	19	10	10	14	557	755	935	1465
F2RL1	2	2	0	2	0	1	0	1
F2RL2	1	2	0	2	38	40	59	78
F2RL3	3	8	1	2	5	12	3	7
F3	4	2	3	5	10	18	22	55
F5	53	32	31	42	0	0	0	0
F7	0	0	0	0	0	0	0	0
F8	0	0	0	0	17	19	27	19
F8A1	6	1	5	2	0	0	0	0
F8A2	0	0	0	0	0	0	0	0
F8A3	0	0	0	0	0	0	0	0
F9	0	0	0	0	0	0	0	0
FA2H	0	0	0	0	0	0	2	0
FAAH	0	0	0	1	0	0	5	4
FAAH2	0	0	0	0	0	0	0	0
FAAHP1	0	0	0	0	0	0	0	0
FAAP100	3	3	1	0	271	192	367	377
FAAP20	139	186	169	147	358	280	490	548
FAAP24	8	9	7	9	31	23	65	34
FABP1	0	0	0	0	0	0	0	0
FABP12	0	0	0	0	0	0	0	0
FABP2	0	0	1	0	0	0	0	0
FABP3	32	40	23	18	2	1	2	2
FABP4	0	0	0	0	5	2	1	14
FABP5	31	37	31	31	232	263	455	464
FABP5P3	0	0	0	0	0	0	0	0
FABP6	5	8	0	1	68	34	140	90
FABP7	0	1	1	0	56	29	128	75
FABP9	0	0	0	0	0	0	0	0
FADD	20	37	13	20	854	764	1224	1318
FADS1	71	113	45	60	1719	1729	3135	4310
FADS2	622	625	449	470	5531	4282	9346	8638
FADS3	0	1	1	0	518	370	665	743
FADS6	3	3	4	5	0	0	0	0
FAF1	18	25	14	16	1069	1048	1678	2058
FAF2	13	18	9	12	1294	945	1798	1720
FAH	1	1	0	0	433	475	619	677
FAHD1	6	10	11	6	490	335	585	447
FAHD2A	1	3	4	0	181	138	289	329
FAHD2B	2	0	0	1	114	79	165	186
FAHD2CP	0	0	0	0	0	0	0	0
FAIM	3	8	5	10	59	55	88	81
FAIM2	0	0	0	0	0	0	0	4
FALEC	0	0	0	0	0	0	0	0
FAM101A	0	0	0	0	0	0	0	0
FAM101B	9	6	10	5	0	9	10	5
FAM102A	2	3	1	2	69	40	103	87
FAM102B	2	4	2	1	123	101	214	246
FAM103A1	4	10	4	6	201	218	297	214
FAM104A	329	309	296	309	257	151	373	253
FAM104B	1	3	4	3	69	50	105	57
FAM105A	5	11	3	8	85	68	131	119
FAM106A	16	14	10	10	0	0	0	0
FAM106B	0	0	0	0	0	0	0	0
FAM106CP	1	2	0	0	0	0	0	0
FAM107A	6	6	6	1	0	0	0	0
FAM107B	0	0	0	0	5	5	9	13
FAM109A	0	3	2	1	23	14	31	14
FAM109B	0	0	0	0	0	0	0	0
FAM110A	1	0	0	0	58	63	96	64
FAM110B	0	1	0	1	15	1	27	5
FAM110C	5	0	0	0	0	0	0	0
FAM110D	0	0	0	0	2	0	3	2
FAM111A	10	16	10	11	629	586	1160	1361
FAM111B	9	5	4	4	380	589	916	1208
FAM114A1	15	20	12	18	612	511	772	809
FAM114A2	3	8	3	1	364	277	560	603
FAM117A	5	1	3	1	34	44	55	66
FAM117B	20	23	13	19	217	179	235	207
FAM118A	10	16	9	3	66	53	111	124
FAM118B	163	189	176	171	207	132	274	271
FAM120A	35	39	28	35	1571	1331	2349	2486
FAM120AOS	381	467	412	392	49	44	49	70
FAM120B	9	10	3	7	547	434	782	951
FAM120C	1	2	2	3	201	172	222	225
FAM122A	20	15	1	2	173	141	253	196
FAM122B	6	10	1	4	52	52	94	168
FAM122C	72	105	59	67	1	3	4	6
FAM124A	10	11	3	4	8	7	8	6
FAM124B	0	0	0	2	0	0	0	0
FAM126A	2	1	2	6	271	229	399	382
FAM126B	34	41	30	35	37	27	46	67
FAM127A	1	6	4	4	1475	1131	1704	1864
FAM127B	3	4	4	7	775	636	1065	1116
FAM127C	14	16	16	16	712	508	1032	933
FAM129A	19	26	16	19	1122	918	1849	1658
FAM129B	91	82	62	104	8091	5432	9514	7086
FAM129C	0	0	0	0	0	0	0	0
FAM131A	32	33	32	34	284	249	366	354
FAM131B	0	2	2	0	9	1	5	11
FAM131C	0	0	0	0	36	14	47	26
FAM132A	0	0	1	0	0	5	2	7
FAM132B	4	5	4	2	6	19	6	69
FAM133A	1	0	0	1	1	11	8	7
FAM133B	0	0	0	0	82	102	141	205
FAM133CP	0	0	0	0	0	0	0	0
FAM133DP	0	0	0	0	0	0	0	0
FAM134A	21	10	14	19	480	380	642	545
FAM134B	2	3	1	4	117	66	149	177
FAM134C	30	29	16	13	592	459	760	903
FAM135A	0	0	0	1	42	43	45	95
FAM135B	0	0	0	0	1	0	0	0
FAM136A	44	74	41	50	823	650	1046	934
FAM138A	0	0	0	0	0	0	0	0
FAM138B	0	0	0	0	0	0	0	0
FAM138C	0	0	2	0	0	0	0	0
FAM138D	0	0	0	0	0	0	0	0
FAM138E	0	0	1	0	0	0	0	0
FAM138F	0	0	0	0	0	0	0	0
FAM13A	41	45	32	24	103	96	143	111
FAM13A-AS1	114	137	135	139	0	0	0	0
FAM13B	4	9	3	3	77	50	76	135
FAM13C	1	0	0	1	43	13	62	41
FAM149A	0	0	0	1	0	1	2	0
FAM149B1	97	55	51	53	30	43	81	112
FAM150A	0	0	0	0	0	0	0	0
FAM150B	2	2	3	1	0	0	0	0
FAM151A	6	6	6	7	0	1	0	0
FAM151B	0	1	1	0	7	13	17	8
FAM153A	0	0	0	0	0	0	0	0
FAM153B	0	0	0	0	0	0	0	0
FAM153C	9	7	14	9	0	0	0	0
FAM155A	0	0	3	1	23	20	24	36
FAM155A-IT1	0	0	0	0	0	0	0	0
FAM155B	0	0	0	1	1	1	1	0
FAM156A	2	1	3	3	0	0	0	0
FAM156B	0	0	0	0	0	0	0	0
FAM157A	1	1	0	0	1	2	2	0
FAM157B	1	0	0	0	2	1	1	0
FAM157C	0	0	0	0	0	0	0	0
FAM159A	0	0	0	0	0	0	0	0
FAM159B	12	1	6	2	0	0	0	0
FAM160A1	0	2	1	0	8	22	31	17
FAM160A2	1	1	0	2	195	159	226	281
FAM160B1	2	3	3	4	360	459	568	659
FAM160B2	37	46	12	30	280	193	365	509
FAM161A	28	34	25	39	99	90	135	99
FAM161B	22	42	21	27	99	46	113	104
FAM162A	2	7	1	1	835	742	1057	1063
FAM162B	0	0	0	0	0	0	0	0
FAM163A	0	0	0	0	0	0	0	0
FAM163B	0	0	0	0	0	0	0	0
FAM166A	6059	6535	5762	5403	1	0	0	0
FAM166B	31	13	19	20	0	0	0	0
FAM167A	0	0	0	0	6	1	9	8
FAM167A-AS1	0	0	0	0	0	0	0	0
FAM167B	0	0	0	0	0	0	0	0
FAM168A	283	304	203	213	720	546	981	1111
FAM168B	23	41	14	17	763	856	1296	1955
FAM169A	70	36	35	22	82	85	152	104
FAM169B	0	0	0	1	0	0	0	0
FAM170A	0	0	0	0	0	0	0	0
FAM170B	0	0	0	0	0	0	0	0
FAM170B-AS1	0	0	0	0	0	0	0	0
FAM171A1	3	14	7	6	220	178	461	430
FAM171A2	0	1	0	1	81	79	128	218
FAM171B	12	14	8	9	132	101	179	200
FAM172A	1	1	0	0	205	95	304	274
FAM172BP	11	19	10	20	0	0	0	0
FAM173A	4	1	0	5	313	277	371	299
FAM173B	2	4	2	3	259	148	290	331
FAM174A	2	2	1	2	61	68	98	96
FAM174B	0	0	0	0	0	0	0	0
FAM175A	716	465	607	699	146	84	195	259
FAM175B	3	5	6	4	360	273	509	468
FAM177A1	24	26	31	39	295	253	368	403
FAM177B	0	0	0	0	0	0	0	0
FAM178A	38	42	41	40	458	404	517	644
FAM178B	0	0	0	0	234	254	463	534
FAM179A	0	0	0	0	5	0	0	4
FAM179B	2	2	4	4	179	119	245	286
FAM180A	0	0	1	0	1	0	4	0
FAM180B	0	0	0	0	0	0	0	0
FAM181A	0	0	0	0	0	0	0	0
FAM181A-AS1	0	0	0	0	0	0	0	0
FAM181B	0	0	0	0	1	0	0	0
FAM182A	0	2	0	0	0	0	0	0
FAM182B	2	3	1	1	0	0	0	0
FAM183A	0	0	0	0	0	0	0	0
FAM183B	0	0	0	1	0	0	0	0
FAM183CP	0	0	1	0	0	0	0	0
FAM184A	0	0	0	0	6	6	4	2
FAM184B	74	75	35	59	0	2	1	0
FAM185A	2	2	0	2	31	28	25	26
FAM186A	1	0	0	2	0	2	1	0
FAM186B	29	34	26	17	1	4	0	2
FAM187B	0	0	0	0	0	0	0	0
FAM188A	7	8	2	6	255	301	358	442
FAM188B	0	0	0	0	48	76	65	126
FAM189A1	0	0	0	2	1	0	0	0
FAM189A2	0	0	0	0	4	0	3	0
FAM189B	11	9	11	14	165	173	243	354
FAM192A	72	98	52	67	607	567	805	940
FAM193A	6	14	4	11	308	302	384	505
FAM193B	4	11	6	10	114	80	127	176
FAM195A	10	18	15	20	45	52	61	91
FAM195B	1	0	2	1	220	91	341	158
FAM196A	7	8	14	16	0	0	0	0
FAM196B	1	1	0	1	26	5	59	43
FAM197Y2	0	0	0	0	0	0	0	0
FAM197Y5	0	0	0	0	0	0	0	0
FAM198A	1	0	0	0	1	0	1	0
FAM198B	0	0	0	0	10	1	6	7
FAM199X	3	11	4	5	727	685	984	1021
FAM19A1	0	0	0	0	0	0	0	0
FAM19A2	0	0	0	0	1	0	0	0
FAM19A3	0	0	0	0	0	0	1	0
FAM19A4	0	0	0	0	0	0	0	0
FAM19A5	0	0	0	0	0	0	0	0
FAM200A	2	2	1	1	71	62	121	90
FAM200B	3	3	2	2	49	20	36	42
FAM201A	3	6	4	1	0	0	0	0
FAM204A	3	16	5	5	184	170	259	188
FAM205A	0	0	0	0	0	0	0	0
FAM205BP	0	0	0	0	0	0	0	0
FAM205C	0	0	0	0	0	0	0	0
FAM206A	1	7	3	2	170	106	263	268
FAM207A	1	3	2	2	276	254	358	353
FAM208A	92	105	80	87	1098	1027	1733	2017
FAM208B	53	61	38	35	981	1124	1456	2075
FAM209A	0	0	0	0	0	0	0	2
FAM209B	0	0	0	0	0	0	0	0
FAM20A	7	4	4	6	0	0	1	0
FAM20B	26	26	15	18	106	94	175	169
FAM20C	16	12	11	14	1264	888	2383	2461
FAM210A	6	11	14	12	309	259	437	400
FAM210B	25	34	36	37	497	710	658	1009
FAM212A	0	2	0	0	29	22	28	21
FAM212B	7	5	1	7	16	13	41	7
FAM212B-AS1	0	0	0	0	0	0	0	0
FAM213A	11	19	6	17	257	295	431	565
FAM213B	4	0	3	2	203	168	301	215
FAM214A	0	1	0	0	222	214	314	453
FAM214B	5	3	2	2	95	71	126	106
FAM215A	8	6	6	5	0	0	0	0
FAM216A	28	15	11	18	443	445	540	619
FAM216B	0	0	0	0	0	0	0	0
FAM217A	1	1	0	1	0	0	0	0
FAM217B	69	59	45	57	44	24	37	32
FAM218A	0	0	0	0	5	2	6	2
FAM219A	5	17	6	10	148	98	206	232
FAM219B	72	49	36	43	110	76	129	148
FAM21A	3	18	4	3	415	344	530	553
FAM21C	6	6	2	10	502	445	623	799
FAM21EP	8	4	3	5	0	0	0	0
FAM220A	3	0	0	1	67	39	105	39
FAM221A	0	0	0	0	0	0	0	0
FAM221B	0	0	0	1	0	0	0	0
FAM222A	0	1	0	0	6	5	26	37
FAM222A-AS1	0	1	0	0	0	0	0	0
FAM222B	3	2	2	1	243	200	262	294
FAM223A	0	0	0	0	0	0	0	0
FAM223B	0	0	0	0	0	0	0	0
FAM224A	0	0	0	0	0	0	0	0
FAM224B	0	0	0	0	0	0	0	0
FAM225A	2	7	2	4	0	0	0	0
FAM225B	3	1	1	3	0	0	0	0
FAM226A	0	0	0	0	0	0	0	0
FAM226B	0	0	0	0	0	0	0	0
FAM227A	37	35	27	30	0	0	1	15
FAM227B	61	28	33	34	2	4	14	22
FAM228A	0	0	0	0	0	0	0	0
FAM228B	273	339	308	328	0	1	2	10
FAM229A	1	1	0	0	0	1	3	0
FAM229B	1	4	1	4	64	39	85	102
FAM230B	0	0	0	1	0	0	0	0
FAM230C	0	0	0	0	0	0	0	0
FAM231A	0	0	0	0	0	0	0	0
FAM231B	0	0	0	0	0	0	0	0
FAM231C	0	0	0	0	0	0	0	0
FAM231D	0	0	0	0	0	0	0	0
FAM24A	0	0	0	0	0	0	0	0
FAM24B	0	0	0	0	7	5	2	0
FAM24B-CUZD1	0	0	0	0	0	0	0	0
FAM25A	0	0	0	0	0	0	0	0
FAM25BP	0	0	0	0	0	0	0	0
FAM25C	0	0	0	0	0	0	0	0
FAM25G	0	0	0	0	0	0	0	0
FAM26D	0	0	0	0	0	0	0	0
FAM26E	1	0	2	0	190	196	253	464
FAM26F	0	0	0	0	4	1	8	4
FAM27B	1	7	10	8	0	0	0	0
FAM27C	6	7	11	6	0	0	0	0
FAM27E2	1	1	1	0	0	0	0	0
FAM27E3	1	0	0	0	0	0	0	0
FAM27L	0	0	0	0	0	0	0	0
FAM32A	20	17	11	23	550	288	725	448
FAM35A	6	9	2	4	112	120	130	171
FAM35BP	3	3	0	3	0	0	0	0
FAM35DP	2	2	2	3	0	0	0	0
FAM3A	2	4	4	2	72	69	102	65
FAM3B	0	0	0	0	2	1	1	0
FAM3C	31	49	31	33	989	951	1345	1318
FAM3D	0	0	0	0	0	0	0	0
FAM41AY1	0	0	0	0	0	0	0	0
FAM41AY2	0	0	0	0	0	0	0	0
FAM41C	0	0	0	0	0	0	0	0
FAM43A	5	1	1	0	460	36	643	64
FAM43B	0	0	0	0	0	0	0	0
FAM45A	1	1	0	0	95	80	155	151
FAM45B	10	6	5	6	0	0	0	0
FAM46A	1	2	2	1	141	145	210	171
FAM46B	2	1	0	0	18	18	50	75
FAM46C	0	1	0	1	13	12	17	3
FAM46D	0	0	0	0	0	0	1	0
FAM47A	0	0	0	0	0	0	0	0
FAM47B	0	2	0	0	0	0	0	0
FAM47C	0	0	0	0	0	0	0	0
FAM47E	0	0	0	0	0	0	1	0
FAM47E-STBD1	0	0	0	0	0	0	0	0
FAM49A	1	1	0	0	24	33	42	69
FAM49B	8	17	9	5	846	810	1518	1578
FAM50A	50	48	21	35	900	563	1348	878
FAM50B	0	0	0	0	95	49	131	94
FAM53A	0	0	0	0	2	3	0	0
FAM53B	1	3	0	3	45	49	68	43
FAM53B-AS1	2	2	0	2	0	0	0	0
FAM53C	8	10	5	12	175	133	235	275
FAM57A	176	164	146	147	327	300	427	496
FAM57B	0	0	0	0	1	9	3	6
FAM58A	0	1	0	2	132	107	163	165
FAM60A	25	23	19	21	790	889	1194	1303
FAM63A	1	1	2	2	303	216	424	304
FAM63B	16	20	18	15	105	77	134	172
FAM64A	2	9	3	5	361	334	580	686
FAM65A	17	20	12	16	1370	1146	1786	1668
FAM65B	6	1	2	3	0	0	1	7
FAM65C	10	12	10	13	0	0	0	0
FAM66A	1	0	0	0	0	0	0	0
FAM66B	0	0	0	0	0	0	0	0
FAM66C	0	0	0	1	0	0	0	0
FAM66D	0	0	0	0	0	0	0	0
FAM66E	0	0	0	0	0	0	0	0
FAM69A	62	73	53	47	55	56	109	144
FAM69B	469	502	770	782	0	0	0	0
FAM69C	0	0	0	0	0	0	0	0
FAM71A	0	0	0	0	0	0	0	0
FAM71B	0	0	0	0	0	5	0	0
FAM71C	0	0	0	0	0	0	0	0
FAM71D	0	0	0	2	0	3	0	0
FAM71E1	480	571	398	505	3	4	0	7
FAM71E2	0	0	0	0	0	0	0	0
FAM71F1	1	0	0	0	0	0	0	0
FAM71F2	2	0	0	1	1	0	0	2
FAM72A	0	0	0	0	0	0	0	0
FAM72B	3	2	4	5	30	30	46	54
FAM72C	0	0	0	0	0	0	0	0
FAM72D	0	0	0	1	0	0	0	0
FAM73A	85	72	73	66	473	487	780	799
FAM73B	7	3	3	1	75	54	101	115
FAM74A1	0	0	0	0	0	0	0	0
FAM74A3	18	5	10	13	0	0	0	0
FAM74A4	5	5	8	5	0	0	0	0
FAM74A6	0	0	0	0	0	0	0	0
FAM74A7	0	0	0	0	0	0	0	0
FAM76A	6	7	1	5	88	42	122	101
FAM76B	1	0	0	1	83	51	105	66
FAM78A	1	3	2	0	2	0	5	20
FAM78B	1	2	0	3	27	0	30	25
FAM81A	0	0	0	0	22	2	27	17
FAM81B	1	1	0	0	0	0	0	0
FAM83A	2	0	1	2	0	0	0	0
FAM83A-AS1	0	0	0	0	0	0	0	0
FAM83B	0	0	0	0	45	30	42	107
FAM83C	1	0	1	1	0	0	0	0
FAM83C-AS1	0	0	0	0	0	0	0	0
FAM83D	4	5	3	2	903	1319	1595	2356
FAM83E	1	1	0	1	0	0	0	0
FAM83F	0	0	0	0	0	0	0	0
FAM83G	6	8	6	10	390	217	425	476
FAM83H	8	9	6	8	0	0	2	0
FAM83H-AS1	25	18	17	11	0	0	0	0
FAM84A	1	1	2	1	78	53	99	66
FAM84B	6	11	10	4	30	59	36	73
FAM86B1	0	0	0	0	16	7	20	15
FAM86B2	0	0	0	0	8	2	16	10
FAM86B3P	4	3	4	3	0	0	0	0
FAM86C1	2	0	0	0	37	13	61	23
FAM86C2P	1	1	2	2	0	0	0	0
FAM86DP	0	0	0	0	0	0	0	0
FAM86EP	15	13	20	19	0	0	0	0
FAM86FP	2	2	5	0	0	0	0	0
FAM86HP	0	2	0	0	0	0	0	0
FAM86JP	0	1	3	0	0	0	0	0
FAM87A	0	4	3	1	0	0	0	0
FAM87B	1	4	0	6	0	0	0	0
FAM89A	0	2	0	1	73	93	67	110
FAM89B	2	10	2	4	251	134	380	243
FAM8A1	11	2	2	2	171	102	212	180
FAM90A1	1	0	2	0	0	0	0	0
FAM90A10P	0	0	1	0	0	0	0	0
FAM90A25P	0	0	0	1	0	0	0	0
FAM90A27P	0	0	0	0	0	0	0	0
FAM90A2P	0	0	0	0	0	0	0	0
FAM90A7P	1	2	1	0	0	0	0	0
FAM91A1	17	21	10	12	695	782	1081	1565
FAM92A1	167	63	57	64	344	232	513	508
FAM92A1P2	10	6	6	3	0	0	0	0
FAM92B	1	0	0	0	0	0	0	0
FAM95A	0	0	0	0	0	0	0	0
FAM95B1	0	0	0	0	0	0	0	0
FAM95C	0	0	0	0	0	0	0	0
FAM96A	7	8	3	4	335	422	449	688
FAM96B	1	1	2	7	1557	1135	2061	1820
FAM98A	19	16	14	15	913	665	1274	1167
FAM98B	5	11	3	3	941	828	1524	1476
FAM98C	0	1	2	1	224	140	242	326
FAM99A	0	0	0	0	0	0	0	0
FAM99B	0	0	0	0	0	0	0	0
FAM9A	0	0	0	0	0	0	0	0
FAM9B	0	0	0	0	0	0	0	0
FAM9C	0	0	0	0	0	0	0	0
FAN1	335	336	263	306	46	53	59	137
FANCA	485	526	483	512	328	355	561	693
FANCB	2	1	0	1	112	82	183	217
FANCC	3	12	7	10	169	211	237	348
FANCD2	21	24	15	12	880	1204	1226	1689
FANCD2OS	186	185	185	199	0	0	0	0
FANCE	0	3	0	1	101	121	208	267
FANCF	23	18	23	26	372	228	528	484
FANCG	1	4	1	1	412	343	517	699
FANCI	672	730	686	659	1083	1570	1783	2281
FANCL	316	227	279	291	281	276	509	416
FANCM	1	0	0	1	185	222	283	393
FANK1	0	1	1	1	3	2	1	3
FANK1-AS1	0	0	0	0	0	0	0	0
FAP	0	0	0	0	0	0	0	0
FAR1	3	15	4	1	1372	1464	2207	3080
FAR2	98	65	53	62	75	127	135	208
FAR2P1	0	0	0	0	0	0	0	0
FAR2P2	7	7	9	6	0	0	0	0
FARP1	25	30	24	28	205	103	369	337
FARP2	105	106	82	99	239	243	374	452
FARS2	0	1	0	2	216	166	332	355
FARSA	42	70	46	43	3034	2166	3819	3473
FARSB	12	16	13	7	1338	1160	2140	2096
FAS	5	1	3	2	49	31	74	33
FAS-AS1	5	1	0	0	0	0	0	0
FASLG	0	0	0	0	0	1	0	0
FASN	24	24	15	15	16424	24736	24843	43788
FASTK	1	1	0	1	157	109	215	272
FASTKD1	1	1	2	3	209	290	300	270
FASTKD2	21	18	21	18	661	1118	1044	2107
FASTKD3	3	1	0	0	340	311	532	542
FASTKD5	1	0	3	1	534	753	729	1159
FAT1	24	31	14	17	1999	3149	2810	5578
FAT2	44	46	28	23	1	0	2	0
FAT3	16	14	15	8	2	8	7	25
FAT4	2	2	1	0	113	180	217	486
FATE1	0	0	0	0	0	0	0	0
FAU	9	10	9	5	6797	6957	8947	10522
FAXC	0	0	0	0	15	9	22	13
FAXDC2	35	39	23	26	32	4	36	54
FBF1	0	1	0	0	44	38	65	61
FBL	226	285	242	215	2406	2242	3335	3635
FBLIM1	67	79	52	38	295	266	554	727
FBLL1	0	0	0	0	0	0	0	0
FBLN1	12	16	11	16	678	820	1222	1636
FBLN2	0	0	0	0	0	1	0	0
FBLN5	0	0	0	0	0	0	0	4
FBLN7	1	0	0	0	12	41	27	47
FBN1	11	12	4	5	920	2465	1122	3054
FBN2	17	15	10	5	1212	2161	2279	5060
FBN3	0	0	0	0	0	0	1	1
FBP1	0	0	0	0	0	0	0	0
FBP2	10	17	14	26	0	1	0	0
FBRS	5	2	4	4	292	341	288	652
FBRSL1	5	3	7	11	185	206	247	385
FBXL12	2	6	2	3	279	152	375	305
FBXL13	22	18	13	19	4	3	6	8
FBXL14	2	1	2	2	191	137	251	234
FBXL15	6	6	3	7	266	238	289	342
FBXL16	2	4	2	3	6	6	5	2
FBXL17	4	10	2	6	370	281	422	568
FBXL18	61	52	47	43	404	293	598	649
FBXL19	13	19	13	19	158	158	219	242
FBXL19-AS1	52	52	37	47	0	0	0	0
FBXL2	23	15	10	23	97	63	115	111
FBXL20	54	54	35	45	236	206	273	298
FBXL21	0	0	0	0	0	0	0	0
FBXL22	3	2	2	1	1	0	0	0
FBXL3	3	7	1	7	295	271	479	496
FBXL4	0	2	1	1	138	111	163	197
FBXL5	7	4	1	1	437	444	785	830
FBXL6	0	1	0	2	498	461	564	717
FBXL7	7	10	3	3	45	10	60	41
FBXL8	4	4	4	1	80	57	80	79
FBXO10	57	54	34	36	89	94	109	88
FBXO11	66	41	40	52	916	869	1353	1474
FBXO15	0	0	0	0	2	0	4	2
FBXO16	0	0	0	0	19	8	20	10
FBXO17	19	19	9	12	125	138	122	219
FBXO18	53	73	71	72	679	463	913	839
FBXO2	0	0	0	0	1	0	0	0
FBXO21	2	3	3	1	654	620	991	1140
FBXO22	5	7	3	5	527	353	679	780
FBXO22-AS1	843	950	1014	936	0	0	0	0
FBXO24	8	7	4	4	2	0	2	4
FBXO25	0	2	1	2	203	169	305	298
FBXO27	27	31	21	26	20	4	17	27
FBXO28	0	3	2	0	536	469	702	613
FBXO3	5	2	1	2	584	345	821	762
FBXO3-AS1	0	0	0	0	0	0	0	0
FBXO30	4	7	6	10	358	416	562	688
FBXO31	2	2	2	2	144	113	172	102
FBXO32	11	9	9	14	894	966	791	904
FBXO33	11	7	3	6	381	358	419	646
FBXO34	3	3	2	2	161	140	214	241
