GENES	XTAIL	BABEL	RIBOREX	RIBODIFF
HCG11	NA	0.001167031	NA	NA
HCG18	NA	0.00044242	NA	NA
HCG26	NA	0.000874325	NA	NA
HCP5	NA	6.6E-05	NA	NA
HDAC1	0.038302911	NA	NA	NA
HECA	0.000145777	NA	NA	NA
HECTD1	3.03E-08	NA	0.000853007	0.002501581
HECTD2	0.002169625	NA	0.002947012	0.005636041
HECTD3	0.039517771	NA	NA	NA
HECTD4	0.031306107	NA	NA	NA
HEIH	NA	9.27E-05	NA	NA
HELLS	NA	0.071601863	NA	NA
HELZ	0.001345738	NA	0.018738997	0.036594647
HERC2P2	NA	0.051413355	NA	NA
HEXA	0.016188026	NA	NA	NA
HIF1AN	0.044368176	NA	NA	NA
HIPK3	0.002252357	NA	0.030680257	0.04908563
HIST1H1C	NA	6.6E-05	NA	NA
HIST1H1E	NA	6.6E-05	NA	NA
HIST1H2AC	NA	7.29E-05	NA	NA
HIST1H2BD	NA	6.6E-05	NA	NA
HIST1H2BK	NA	0.0002584	NA	NA
HIST1H3H	0.022529305	NA	NA	NA
HIST1H4C	NA	6.6E-05	NA	NA
HIST2H2BE	NA	6.6E-05	NA	NA
HIVEP1	0.003432856	0.032931187	NA	NA
HK1	0.027929375	NA	NA	NA
HLA-B	0.001039394	NA	NA	NA
HLA-DQB2	3.2E-06	NA	NA	NA
HLA-DRB6	NA	0.003299959	NA	NA
HLA-F-AS1	NA	0.089472215	NA	NA
HLA-G	NA	0.009375391	NA	NA
HLA-H	NA	7.11E-05	NA	NA
HLA-J	NA	0.018997891	NA	NA
HLA-L	NA	0.004215605	NA	NA
HLTF	NA	0.093799269	NA	NA
HN1L	0.005340096	NA	NA	NA
HNRNPA1	NA	0.00563186	NA	NA
HNRNPA1L2	NA	0.022047984	NA	NA
HNRNPF	0.00011566	NA	0.005186569	0.017576289
HNRNPL	0.00139695	NA	NA	NA
HNRNPU-AS1	NA	0.033442746	NA	NA
HNRNPUL2	NA	0.099139333	NA	NA
HOOK1	NA	0.046836672	NA	NA
HSBP1	0.000295745	NA	0.004632941	0.012470147
HSD17B10	0.045165733	NA	NA	NA
HSP90AA1	NA	0.055117674	NA	NA
HSPA1B	0.04228074	NA	NA	NA
HSPA6	0.023166353	0.077631192	NA	NA
HTATIP2	0.041343919	NA	NA	NA
HTRA1	0.006790141	NA	NA	NA
HYOU1	0.035765892	NA	NA	NA
IBTK	0.011493733	NA	NA	NA
ICAM1	0.035887929	NA	NA	NA
ICE1	4.72E-10	NA	0.001076164	0.002501581
ICE2	0.00621252	NA	NA	NA
ICK	0.000734525	NA	0.02226161	0.036594647
IDE	0.005105196	NA	0.01782707	0.030705142
IDH3B	0.00530924	NA	NA	NA
IDS	0.0037591	NA	NA	NA
IFI16	0.017966106	NA	NA	NA
IFT43	0.049768336	NA	NA	NA
IFT46	0.034399845	NA	NA	NA
IFT74	0.022079054	0.051676019	NA	NA
IFT80	1.71E-06	NA	0.000499767	0.000859642
IFT88	0.002504168	NA	NA	NA
IGIP	NA	0.049897523	NA	NA
IKZF5	0.009096741	NA	NA	NA
IL6ST	4.16E-05	NA	0.012508421	0.018840334
ILF3-AS1	NA	0.039080408	NA	NA
ILK	0.000213653	NA	0.024131344	NA
IMMP2L	0.023029587	NA	NA	NA
IMPAD1	0.033852765	NA	NA	NA
ING5	0.011117604	NA	NA	NA
INO80C	0.013771745	NA	NA	NA
INTS9	0.004868417	NA	NA	NA
IPO5P1	NA	0.001803904	NA	NA
IPO7	0.035765892	NA	NA	NA
IPW	NA	0.0644925	NA	NA
IQCH-AS1	NA	0.056190368	NA	NA
IREB2	0.03349504	NA	NA	NA
IRGQ	0.006480368	NA	NA	NA
ISY1	NA	0.001514827	NA	NA
ITGA7	0.001197917	NA	NA	NA
ITPA	0.017966106	NA	NA	NA
ITPR2	0.046556391	0.04377012	NA	NA
ITSN2	0.005519124	NA	NA	NA
JAK2	0.000191482	NA	0.022628914	0.037380199
JMJD1C	0.000174529	0.003820074	0.016288496	0.027497867
KANSL1L	0.001155733	NA	0.018070409	0.02229856
KANSL2	0.019669093	NA	NA	NA
KANTR	NA	0.039195215	NA	NA
KAT2B	0.001077092	NA	0.023421975	0.036703082
KAT6B	0.004868165	NA	0.018070409	0.027806869
KAT7	0.033222029	NA	NA	NA
KCNQ1OT1	NA	0.024413129	NA	NA
KCTD10	0.01359942	NA	0.040727574	NA
KDELR1	0.028557006	NA	NA	NA
KDELR3	1.17E-05	NA	0.032542956	0.047289862
KIAA0020	NA	0.086363847	NA	NA
KIAA0040	NA	0.027486473	NA	NA
KIAA0232	0.038302911	NA	NA	NA
KIAA1109	1.65E-06	0.092830035	0.004944768	0.009245139
KIAA1468	0.003227965	NA	0.034706458	NA
KIAA1551	0.000436234	0.043479773	NA	NA
KIAA1586	0.023185874	0.077057332	NA	NA
KIAA2018	0.000158815	NA	0.001188282	0.002501581
KIAA2026	9.89E-11	NA	2.76E-08	2.11E-07
KIDINS220	0.035454866	NA	NA	NA
KIF11	NA	0.050854901	NA	NA
KIF14	NA	0.09447874	NA	NA
KIF18A	NA	0.006181202	NA	NA
KIF20B	0.008755316	0.073647418	NA	NA
KIF5B	0.002508138	NA	0.027922284	0.046167309
KIRREL	NA	0.049761343	NA	NA
KLC1	0.015342809	NA	NA	NA
KLF13	NA	0.039080408	NA	NA
KMT2D	0.016284619	NA	NA	NA
KMT2E	7.28E-06	NA	2.63E-05	0.000178856
KMT2E-AS1	NA	0.064695483	NA	NA
KPNA5	0.047081818	NA	NA	NA
KPNA6	0.023118758	NA	NA	NA
KRIT1	0.020259041	NA	NA	NA
KRR1	NA	0.051837271	NA	NA
KTN1	5.76E-05	NA	0.008634305	0.015533084
LAMB1	0.000996426	NA	NA	NA
LAMTOR1	0.003994591	NA	0.044019417	NA
LAMTOR2	0.045955104	NA	NA	NA
LAMTOR4	0.013514288	NA	NA	NA
LARP7	0.000320283	NA	NA	NA
LARS2	0.00328807	NA	NA	NA
LASP1	0.044982427	NA	NA	NA
LATS1	0.004991436	NA	NA	NA
LCOR	3.44E-05	NA	0.001242321	0.00356891
LEPR	0.000449909	NA	0.01621142	0.023412164
LGALS1	NA	0.083966535	NA	NA
LGMN	0.001065041	NA	NA	NA
LIG3	0.042615873	NA	NA	NA
LIG4	0.007733025	NA	0.030680257	0.047289862
LILRB1	0.048143149	NA	NA	NA
LIN54	0.026712535	NA	NA	NA
LIN9	NA	0.09997387	NA	NA
LINC00094	NA	0.015496167	NA	NA
LINC00158	NA	0.077057332	NA	NA
LINC00174	NA	0.053407602	NA	NA
LINC00265	NA	0.017296497	NA	NA
LINC00294	NA	0.001390217	NA	NA
LINC00324	NA	0.016743903	NA	NA
LINC00339	NA	0.002362485	NA	NA
LINC00341	NA	6.6E-05	NA	NA
LINC00476	NA	0.011877302	NA	NA
LINC00493	NA	0.002324132	NA	NA
LINC00494	NA	0.001907367	NA	NA
LINC00641	NA	0.036015681	NA	NA
LINC00657	NA	7.29E-05	NA	NA
LINC00665	NA	0.009612459	NA	NA
LINC00667	NA	0.00035991	NA	NA
LINC00674	NA	0.000210333	NA	NA
LINC00847	NA	0.000210895	NA	NA
LINC00888	NA	0.071530764	NA	NA
LINC00909	NA	0.016743903	NA	NA
LINC00926	NA	0.010177591	NA	NA
LINC00938	NA	0.02715736	NA	NA
LINC00959	NA	0.08019176	NA	NA
LINC00998	NA	0.015653304	NA	NA
LINC01000	NA	0.000605788	NA	NA
LINC01004	NA	0.087904046	NA	NA
LINC01089	NA	0.043479773	NA	NA
LINC01128	NA	0.01139193	NA	NA
LINC01160	NA	0.058642019	NA	NA
LINC01184	NA	0.017581041	NA	NA
LINC01215	NA	0.000569913	NA	NA
LINC01278	NA	0.003425889	NA	NA
LINC01347	NA	0.04212698	NA	NA
LINC01358	NA	0.003619319	NA	NA
LINC01420	NA	0.001907367	NA	NA
LINC01569	NA	0.072876405	NA	NA
LINC01578	NA	0.000210333	NA	NA
LINC01588	NA	0.011725649	NA	NA
LINC-PINT	NA	0.002253564	NA	NA
LIPA	0.049021848	NA	NA	NA
LMAN1	0.013741645	NA	NA	NA
LMBRD2	0.004922186	NA	NA	NA
LNPEP	NA	0.00725549	NA	NA
LOC100128398	NA	0.09447874	NA	NA
LOC100129034	NA	6.6E-05	NA	NA
LOC100130476	NA	0.074352905	NA	NA
LOC100130744	NA	0.000169169	NA	NA
LOC100131564	NA	0.001968532	NA	NA
LOC100132111	NA	0.008851838	NA	NA
LOC100132352	NA	0.075366857	NA	NA
LOC100288637	NA	0.051503486	NA	NA
LOC100288778	NA	0.041815014	NA	NA
LOC100294145	NA	0.00983131	NA	NA
LOC100419583	NA	6.6E-05	NA	NA
LOC100506100	NA	0.00725549	NA	NA
LOC100506127	NA	0.052426284	NA	NA
LOC100506258	NA	0.077631192	NA	NA
LOC100506302	NA	0.09271609	NA	NA
LOC100506548	NA	0.000217917	NA	NA
LOC100506603	NA	0.080785445	NA	NA
LOC100506639	NA	0.036387957	NA	NA
LOC100506801	NA	0.067606175	NA	NA
LOC100506844	NA	0.031907751	NA	NA
LOC100996583	NA	0.012359557	NA	NA
LOC101926963	NA	0.003431999	NA	NA
LOC101927027	NA	0.026810912	NA	NA
LOC101927100	NA	0.09447874	NA	NA
LOC101927151	NA	0.008242204	NA	NA
LOC101927204	NA	0.04023126	NA	NA
LOC101927686	NA	0.094885325	NA	NA
LOC101929147	NA	0.037789329	NA	NA
LOC101929709	NA	0.017607205	NA	NA
LOC102606465	NA	0.027486939	NA	NA
LOC102724814	NA	0.048423303	NA	NA
LOC103344931	NA	0.011877302	NA	NA
LOC103611081	NA	0.053661461	NA	NA
LOC115110	NA	0.007036626	NA	NA
LOC146880	NA	0.025599892	NA	NA
LOC148413	NA	0.000794079	NA	NA
LOC150776	NA	0.000569913	NA	NA
LOC153684	NA	0.066541637	NA	NA
LOC155060	NA	0.099279256	NA	NA
LOC202181	NA	0.01802761	NA	NA
LOC220729	NA	0.054046678	NA	NA
LOC283922	NA	0.00583422	NA	NA
LOC284023	NA	0.073366239	NA	NA
LOC284454	NA	0.027442762	NA	NA
LOC285074	NA	0.029588615	NA	NA
LOC339803	NA	0.010964506	NA	NA
LOC374443	NA	8.51E-05	NA	NA
LOC389641	NA	0.002606424	NA	NA
LOC389906	NA	0.021112709	NA	NA
LOC401320	NA	0.026342952	NA	NA
LOC440434	NA	0.008022614	NA	NA
LOC441155	0.026939758	1.62E-05	NA	NA
LOC613037	NA	0.044644285	NA	NA
LOC642846	NA	0.031342158	NA	NA
LOC642852	NA	0.038602418	NA	NA
LOC643387	NA	0.015273699	NA	NA
LOC646214	NA	0.007557951	NA	NA
LOC648987	NA	0.007493587	NA	NA
LOC652276	NA	0.051484377	NA	NA
LOC728554	NA	0.066111404	NA	NA
LOC728743	NA	0.005229033	NA	NA
LOC729218	NA	0.00572475	NA	NA
LOC729603	NA	0.0078559	NA	NA
LOC729683	NA	0.014877397	NA	NA
LOC90784	NA	0.001907367	NA	NA
LOC93622	NA	0.009641635	NA	NA
LOX	NA	9.63E-05	NA	NA
LPGAT1	0.031531875	NA	NA	NA
LRP1	0.01071562	NA	NA	NA
LRPAP1	0.039948402	NA	NA	NA
LRRC37A	NA	0.000879139	NA	NA
LRRC37A2	0.013595319	0.099119043	NA	NA
LRRC37A4P	NA	0.015959377	NA	NA
LRRC37BP1	NA	0.012184633	NA	NA
LRRC40	NA	0.073647418	NA	NA
LRRC41	0.018435553	NA	NA	NA
LRRC58	0.001103845	NA	0.033930488	0.048174213
LRRC59	0.004320041	NA	NA	NA
LRRC75A-AS1	NA	6.6E-05	NA	NA
LSM2	0.028306374	NA	NA	NA
LSM3	NA	0.043342869	NA	NA
LSP1	0.04621374	NA	NA	NA
LTB4R2	NA	0.03670539	NA	NA
LTN1	8.07E-06	0.067707709	0.001829565	0.003651989
LTV1	0.015619073	NA	NA	NA
LUC7L3	0.020209415	NA	NA	NA
LYPLA2	0.049640558	NA	NA	NA
MAD1L1	0.01078645	NA	NA	NA
MAEA	0.007819144	NA	NA	NA
MAFG	NA	0.094240613	NA	NA
MAGED2	0.041952216	NA	NA	NA
MALAT1	NA	6.6E-05	NA	NA
MAN1A2	0.035445009	NA	NA	NA
MANEA	0.009543798	NA	NA	NA
MAP10	0.01694518	NA	NA	NA
MAP1LC3A	NA	0.089472215	NA	NA
MAP1LC3B2	NA	0.092830035	NA	NA
MAP3K2	5.82E-07	NA	0.01351606	0.023412164
MAP3K4	0.014869924	NA	NA	NA
MAP4K5	0.001985118	NA	0.03433547	NA
MAPKAPK5-AS1	NA	0.00407186	NA	NA
MAPRE1	0.018440872	NA	0.04295706	NA
MASP1	4.05E-06	NA	NA	NA
MAT2A	0.015635035	NA	NA	NA
MATN2	0.005386644	NA	NA	NA
MATR3	1.26E-07	NA	0.01225261	0.022843953
MBD5	0.000191482	NA	0.000762965	0.001045278
MBNL1	0.000460447	NA	0.04697569	NA
MBNL2	0.030076571	NA	0.002166206	0.0051639
MBTD1	2.2E-05	NA	NA	NA
MCAM	0.036083458	NA	NA	NA
MCF2	0.012327792	NA	NA	0.013034731
MDH2	0.014869924	NA	NA	NA
MDM2	0.005878707	NA	0.03121287	0.046880727
MDM4	0.04462599	NA	NA	NA
MEA1	0.000198714	NA	0.04392649	NA
MED10	0.03414199	NA	NA	NA
MED13	6.33E-12	NA	6.04E-06	2.01E-05
MED18	0.044895153	NA	NA	NA
MED27	0.007636574	NA	0.0470342	NA
MEGF10	0.000283461	NA	NA	NA
METTL1	0.003270864	NA	NA	NA
MFN2	0.023542317	NA	NA	NA
MFSD10	NA	0.077576602	NA	NA
MGA	0.023166353	NA	NA	NA
MGAT2	0.039616468	NA	NA	NA
MGAT4B	0.030288903	NA	NA	NA
MGC27345	NA	0.001572445	NA	NA
MGC57346	NA	0.012891716	NA	NA
MIAT	NA	0.006236598	NA	NA
MIB1	0.010120555	NA	0.04839647	NA
MICU1	0.040053355	NA	NA	NA
MIER1	0.030265758	NA	NA	NA
MIF	NA	6.6E-05	NA	NA
MIR142	NA	0.003522046	NA	NA
MIR155HG	NA	6.6E-05	NA	NA
MIR17HG	NA	0.004372586	NA	NA
MIR22HG	NA	0.039070028	NA	NA
MIR378I	NA	0.037857409	NA	NA
MIR5047	NA	0.000239524	NA	NA
MIR600HG	NA	0.000243997	NA	NA
MIS18BP1	0.007310622	0.04164046	NA	NA
MKI67	NA	0.058355445	NA	NA
MKKS	0.010301623	NA	0.02104234	0.036144436
MKLN1	0.022059357	NA	NA	NA
MLEC	0.02219097	0.04529819	NA	NA
MLH3	0.021933525	NA	NA	NA
MMP10	0.024985381	NA	NA	NA
MMP24-AS1	NA	0.011725649	NA	NA
MOCS1	0.029914827	NA	NA	NA
MON2	0.00993854	NA	0.03726369	NA
MORC3	0.014044359	NA	NA	NA
MPHOSPH10	0.003711373	NA	0.03187032	0.048174213
MPHOSPH9	0.013179599	NA	NA	NA
MPP5	0.02276048	NA	NA	NA
MPV17	0.000640493	NA	0.008474684	0.019804705
MRC2	0.041504791	NA	NA	NA
MRE11A	0.008426432	NA	NA	NA
MRFAP1	0.002176858	0.069892742	0.01915933	0.049353337
MRPL15	0.004541894	NA	0.002098198	0.012513341
MRPL17	0.046556391	NA	NA	NA
MRPL24	0.005051246	NA	NA	NA
MRPL44	0.016185594	NA	NA	NA
MRPL48	0.00075768	NA	0.01671466	0.048174213
MRPL49	0.014287293	NA	NA	NA
MRPS17	0.013440296	NA	NA	NA
MRPS18A	0.00530924	NA	0.005687182	0.025604996
MRPS18B	0.004196659	NA	0.0269872	NA
MRPS18C	0.042615873	NA	NA	NA
MRPS21	0.033727327	NA	NA	NA
MRPS23	0.000669405	NA	NA	NA
MRPS28	0.003597979	NA	0.0488488	NA
MRPS31P5	NA	0.007807234	NA	NA
MSH3	0.014964728	0.075946709	NA	NA
MSN	0.00127758	NA	NA	NA
MT1X	NA	0.001011132	NA	NA
MTA2	0.005112723	NA	NA	NA
MTDH	0.000191482	NA	0.04500522	NA
MTF2	0.040260263	NA	NA	NA
MTHFD1	0.041415024	NA	NA	NA
MTIF2	0.032167112	NA	NA	NA
MTMR2	0.049640558	NA	NA	NA
MTRNR2L6	NA	0.044543795	NA	NA
MTX2	0.048143149	NA	NA	NA
MUL1	0.008822383	NA	0.03190438	NA
MYH11	NA	0.000201086	NA	NA
MYL6	0.000302831	NA	0.04564233	NA
MYO10	NA	0.04129533	NA	NA
MYO5A	0.006627209	NA	NA	NA
MYO7A	0.000640681	NA	NA	NA
MYO9A	0.018037436	NA	NA	NA
MYOF	0.032374915	NA	NA	NA
MYPOP	0.038502766	NA	0.03820993	0.039036029
MYSM1	0.00026509	NA	0.009219607	0.015718531
MZT2A	NA	0.003239639	NA	NA
MZT2B	0.021933525	0.005370834	NA	NA
N4BP2	0.000289721	NA	NA	NA
N4BP2L2	0.025760701	NA	NA	NA
NAA15	0.013741645	NA	NA	NA
NAA30	0.026712535	NA	NA	NA
NAB1	0.007824826	NA	NA	NA
NAGA	0.032942544	NA	NA	NA
NANS	0.009765666	NA	NA	NA
NAPA	0.000401589	NA	0.02026464	NA
NAPSA	NA	0.069219634	NA	NA
NAPSB	NA	6.6E-05	NA	NA
NAV2	0.000734525	NA	NA	NA
NBEAL1	0.034979166	0.002918938	NA	NA
NBN	0.000248242	NA	0.049992	NA
NBPF10	0.045267134	0.022673166	NA	NA
NBPF12	NA	0.04164046	NA	NA
NBPF14	NA	1.04E-05	NA	NA
NBPF15	0.017279625	NA	0.03569565	0.048174213
NBPF20	NA	2.57E-05	NA	NA
NBPF9	NA	0.009338189	NA	NA
NBR2	NA	0.039756626	NA	NA
NCBP2-AS2	NA	0.048095478	NA	NA
NCF1C	NA	0.001267285	NA	NA
NCK1-AS1	NA	0.088946333	NA	NA
NCKAP1L	0.013366899	NA	NA	NA
NCOA5	0.00382029	NA	0.04020218	NA
NCOA7	0.024738768	NA	NA	NA
NCOR1	0.044895153	NA	NA	NA
NCSTN	0.01315516	NA	NA	NA
NDC80	NA	0.063057168	NA	NA
NDRG2	0.004948587	NA	NA	NA
NDRG3	0.007252181	NA	0.04181096	NA
NDUFA10	0.034601876	NA	NA	NA
NDUFA13	NA	0.052734099	NA	NA
NDUFA2	0.04363732	NA	NA	NA
NDUFA4	0.00482801	NA	0.03569565	NA
NDUFA7	NA	9.85E-05	NA	NA
NDUFA8	0.000144556	NA	0.003282113	0.013034731
NDUFA9	0.004967296	NA	NA	NA
NDUFAB1	0.042281435	NA	NA	NA
NDUFB4	NA	0.025003328	NA	NA
NDUFB6	0.04033519	NA	NA	NA
NDUFB9	0.00239846	NA	NA	NA
NDUFC2	NA	0.002705971	0.02148309	NA
NDUFS2	5.56E-05	NA	0.03547958	NA
NEAT1	NA	6.6E-05	NA	NA
NEDD1	0.001220858	NA	0.03311431	0.047720799
NEK1	0.002289564	NA	NA	NA
NEK4	0.020423465	NA	0.04062599	NA
NEK9	0.004196659	NA	NA	NA
NELFE	0.024371777	NA	NA	NA
NEMF	1.12E-07	0.03358106	0.001076164	0.001930922
NEURL1	0.036599228	NA	NA	NA
NFS1	0.044130106	NA	NA	NA
NIFK-AS1	NA	0.095536386	NA	NA
NIN	0.002504168	NA	0.03731624	NA
NIPBL	3.39E-10	0.051676019	2.2E-05	4.47E-05
NIPBL-AS1	NA	0.030766753	NA	NA
NKTR	1.64E-05	NA	0.001117751	0.002511691
NLK	0.017722022	NA	0.03770542	NA
NMD3	0.035629413	NA	NA	NA
NME1	0.024020821	NA	NA	NA
NNT-AS1	NA	0.007627632	NA	NA
NOA1	0.045867393	NA	NA	NA
NOL8	1.35E-07	NA	0.000380208	0.000888446
NOMO3	NA	0.003656552	NA	NA
NOP14-AS1	NA	0.004478402	NA	NA
NOP2	0.013179599	NA	NA	NA
NOP58	0.001411798	NA	0.02722623	0.049353337
NOP9	0.00610118	NA	0.01145237	0.03882104
NPAT	0.004866606	0.049761343	NA	NA
NPHP3	7.28E-06	9.27E-05	0.001064876	0.001428434
NPIPB3	0.002586189	0.009641635	0.04879414	NA
NPIPB5	0.003224613	NA	NA	NA
NPTXR	0.005145289	NA	NA	NA
NRAV	NA	0.008665913	NA	NA
NRBP1	0.004307644	NA	NA	NA
NRF1	0.007924953	NA	0.03304426	NA
NRSN2-AS1	NA	0.048935374	NA	NA
NSDHL	0.034979166	NA	NA	NA
NSRP1	0.000385682	0.089161205	0.0450404	NA
NT5C3B	0.039512688	NA	NA	NA
NUDC	0.028044393	NA	NA	NA
NUDCD3	3.33E-06	NA	0.000100742	0.000888446
NUDT4	NA	6.6E-05	NA	NA
NUDT6	NA	0.004478402	NA	NA
NUDT8	NA	0.014507784	NA	NA
NUFIP2	0.000269952	NA	0.03740656	NA
NUP188	0.030288903	NA	NA	NA
NUP85	0.000875915	NA	0.03770542	NA
NUP93	0.003193144	NA	NA	NA
NUTM2A-AS1	NA	0.019309399	NA	NA
NUTM2B-AS1	NA	0.04212698	NA	NA
NXPE3	0.000295745	NA	0.003428803	0.006018243
NXT1	0.043167286	NA	NA	NA
OASL	0.045416195	NA	NA	NA
OAZ2	0.015873603	NA	NA	NA
ODF2L	0.003408218	NA	0.04307948	NA
ODF3B	NA	0.00308022	NA	NA
OFD1	0.001533398	NA	NA	NA
OIP5-AS1	NA	0.000191437	NA	NA
OLFML3	0.002297734	NA	NA	NA
OLMALINC	NA	0.092593374	NA	NA
OPA1	0.012547657	NA	NA	NA
OPA3	NA	0.042397891	NA	NA
OPN3	0.028367035	NA	NA	NA
OS9	0.033222029	NA	NA	NA
OSBPL8	7.39E-05	NA	0.04181096	NA
OSBPL9	0.012189068	NA	0.03249206	NA
OSER1-AS1	NA	0.019582673	NA	NA
OSGIN2	0.045442022	NA	NA	NA
OTUB1	0.018663101	NA	NA	NA
OTUD4	0.00945473	NA	NA	NA
OTUD6B-AS1	NA	0.043479773	NA	NA
OXR1	0.019090848	NA	NA	NA
P2RY11	NA	0.029016555	NA	NA
PAAF1	0.007927188	NA	NA	NA
PABPC1	0.007071039	NA	0.007952905	0.015533084
PABPC1L	0.00479737	NA	NA	NA
BABPC3	NA	6.6E-05	NA	NA
PABPN1	0.036822169	NA	NA	NA
PAF1	0.048521255	NA	NA	NA
PALB2	0.003609927	NA	NA	NA
PAN3	0.020006253	NA	NA	NA
PAPD5	0.027570188	NA	NA	NA
PAPOLA	0.010009446	NA	0.01826155	0.027806869
PARP8	0.047228266	NA	NA	NA
PARVA	0.009787756	NA	NA	NA
PAXBP1	7.53E-09	NA	6.04E-06	2.01E-05
PAXIP1-AS1	NA	0.099131495	NA	NA
PAXIP1-AS2	NA	0.0851494	NA	NA
PBRM1	0.002578363	NA	0.01147658	0.025143548
PCBP1-AS1	NA	0.04776601	NA	NA
PCBP4	0.041948253	NA	NA	NA
PCCB	0.039182214	NA	NA	NA
PCED1A	0.014044359	NA	0.0210365	0.027806869
PCED1B-AS1	NA	0.00065758	NA	NA
PCF11	0.000289721	NA	0.0155858	0.029813354
PCM1	0.011694154	0.027051978	NA	NA
PCMTD1	0.000331066	NA	NA	NA
PCNXL4	0.001352861	NA	0.01335523	0.023412164
PCYT1A	0.000976877	NA	NA	NA
PDCD4-AS1	NA	0.011936241	NA	NA
PDE2A	0.000976877	NA	NA	NA
PDHA1	0.000823147	NA	0.01338652	0.036498177
PDIA3P1	NA	0.000284064	NA	NA
PDPK1	0.032175409	NA	NA	NA
PDPR	0.00713837	NA	NA	NA
PDRG1	0.042615873	NA	NA	NA
PDS5A	0.033061493	NA	NA	NA
PDS5B	0.003781384	0.095011763	0.007681229	0.014619935
PDXDC2P	NA	0.001968532	NA	NA
PDXK	0.046480638	NA	NA	NA
PDZD11	0.048684255	NA	NA	NA
PDZD8	8.31E-06	NA	0.000324132	0.000859642
PELO	0.016278092	NA	NA	NA
PES1	0.029952567	NA	NA	NA
PEX1	0.001196628	NA	0.02104234	0.028391015
PEX19	0.017597644	NA	NA	NA
PGK1	0.000486447	NA	0.01661846	0.038526502
PGAM4	NA	0.005441232	NA	NA
PGM1	0.000935344	NA	NA	NA
PHC3	0.018629479	NA	NA	NA
PHF14	0.009113032	NA	NA	NA
PHF20L1	0.006968102	NA	NA	NA
PHF3	8.59E-08	0.006318948	0.007537265	0.013484391
PHF8	0.001600571	NA	NA	NA
PHIP	4.93E-07	0.074957568	0.004944768	0.008650515
PHKB	0.015560244	NA	NA	NA
PHPT1	NA	0.08019176	NA	NA
PHTF2	0.018796618	NA	NA	NA
PI4KAP2	NA	0.08019176	NA	NA
PIAS1	NA	0.058355445	NA	NA
PIAS2	0.023539962	NA	0.04977981	NA
PIBF1	0.000531305	0.009338189	NA	NA
PIGA	0.023345482	NA	NA	NA
PIK3C2A	1.24E-07	NA	0.001076164	0.001747074
PIK3CA	6.95E-05	0.062346011	0.00018427	0.000564433
PIK3CD-AS1	NA	0.092593374	NA	NA
PIK3R1	0.000720099	NA	0.02682046	0.040665575
PIKFYVE	0.007728689	NA	NA	NA
PINK1-AS	NA	0.039070028	NA	NA
PIP4K2C	0.045327828	NA	NA	NA
PIPSL	NA	0.0078559	NA	NA
PITPNA-AS1	NA	0.075251159	NA	NA
PKD1P1	NA	0.000838644	NA	NA
PKLR	0.007252181	NA	NA	NA
PKM	0.038502766	NA	NA	NA
PKN2	0.000711885	NA	NA	NA
PLA2G4C	0.041650951	NA	NA	NA
PLAC8	0.047151126	NA	NA	NA
PLEKHB1	0.008870938	NA	NA	NA
PLEKHM1P	NA	0.009338189	NA	NA
PLOD3	0.031531875	NA	NA	NA
PLP2	0.009428331	NA	NA	NA
PLS3	NA	0.008901076	NA	NA
PLSCR2	0.024431907	NA	NA	NA
PMPCA	0.000458256	NA	NA	NA
PMF1	NA	0.006318948	NA	NA
PMS1	0.000254756	NA	0.04295706	NA
PMS2CL	NA	0.009338189	NA	NA
PMS2P1	NA	0.014954806	NA	NA
PMS2P3	NA	0.094885325	NA	NA
PNISR	0.000563944	NA	0.04295706	NA
PNN	9.5E-05	NA	0.004680929	0.007564761
PNPLA8	0.030487222	NA	NA	NA
PNPO	0.020709526	NA	NA	NA
POC1B	0.04741576	NA	NA	NA
POFUT1	0.04289369	NA	NA	NA
POLA2	0.042350417	NA	NA	NA
POLDIP3	0.013592302	NA	NA	NA
POLE3	0.029350822	NA	NA	NA
POLI	0.041740638	NA	NA	NA
POLQ	NA	0.070711352	NA	NA
POLR1A	0.000281666	NA	NA	NA
POLR2D	0.001907509	NA	0.004357944	0.017879375
POLR2I	NA	0.015273699	NA	NA
POLR2J2	NA	0.002731542	NA	NA
POLR2J4	NA	0.019788411	NA	NA
POLR2L	NA	0.077057332	NA	NA
POMP	0.009260589	NA	NA	NA
POTEE	0.031531875	NA	NA	NA
POTEF	0.010534319	NA	NA	NA
POTEI	0.012451316	NA	NA	0.036594647
POU3F3	1.31E-05	NA	NA	NA
PP7080	NA	0.008191021	NA	NA
PPIB	0.02687212	NA	NA	NA
PPIF	0.013014863	NA	NA	NA
PPIG	0.002587228	NA	0.02413134	NA
PPIL1	0.002153472	NA	NA	NA
PPIP5K2	4.16E-05	NA	0.003111561	0.005632207
PPME1	0.026573082	NA	NA	NA
PPP1R12A	0.007858884	NA	0.02048227	0.035100768
PPP1R3E	NA	0.0851494	NA	NA
PPP2R3B	NA	0.036882344	NA	NA
PPP2R4	0.020298348	NA	NA	NA
PPP2R5	0.037351737	NA	NA	NA
PPP2R6	0.022815187	NA	NA	NA
PPP2R7	7.73E-06	NA	NA	NA
PPP2R8	0.032998699	NA	NA	NA
PPP2R9	0.038659437	NA	NA	NA
PPP2R10	0.038456806	NA	NA	NA
PPP2R11	0.032514408	NA	NA	NA
PPP2R12	0.022997612	NA	NA	NA
PPP2R13	0.039512688	NA	NA	NA
